"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000050344" "grey" "M0"
"ENSG00000050393" "yellow" "M2"
"ENSG00000050405" "yellow" "M2"
"ENSG00000050426" "black" "M5"
"ENSG00000050438" "turquoise" "M1"
"ENSG00000050555" "greenyellow" "M9"
"ENSG00000050748" "grey" "M0"
"ENSG00000050767" "black" "M5"
"ENSG00000050820" "yellow" "M2"
"ENSG00000051009" "black" "M5"
"ENSG00000051108" "brown" "M11"
"ENSG00000051128" "grey" "M0"
"ENSG00000051180" "purple" "M8"
"ENSG00000051341" "grey" "M0"
"ENSG00000051382" "blue" "M10"
"ENSG00000051523" "grey" "M0"
"ENSG00000051596" "grey" "M0"
"ENSG00000051620" "grey" "M0"
"ENSG00000051825" "grey" "M0"
"ENSG00000052126" "pink" "M6"
"ENSG00000052723" "grey" "M0"
"ENSG00000052749" "yellow" "M2"
"ENSG00000052795" "grey" "M0"
"ENSG00000052802" "yellow" "M2"
"ENSG00000052841" "grey" "M0"
"ENSG00000052850" "grey" "M0"
"ENSG00000053254" "grey" "M0"
"ENSG00000053371" "grey" "M0"
"ENSG00000053372" "yellow" "M2"
"ENSG00000053438" "grey" "M0"
"ENSG00000053501" "greenyellow" "M9"
"ENSG00000053702" "black" "M5"
"ENSG00000053770" "grey" "M0"
"ENSG00000053900" "grey" "M0"
"ENSG00000054116" "grey" "M0"
"ENSG00000054118" "grey" "M0"
"ENSG00000054148" "purple" "M8"
"ENSG00000054267" "magenta" "M7"
"ENSG00000054277" "turquoise" "M1"
"ENSG00000054282" "grey" "M0"
"ENSG00000054392" "red" "M4"
"ENSG00000054523" "magenta" "M7"
"ENSG00000054598" "grey" "M0"
"ENSG00000054611" "grey" "M0"
"ENSG00000054654" "turquoise" "M1"
"ENSG00000054690" "magenta" "M7"
"ENSG00000054793" "grey" "M0"
"ENSG00000054965" "grey" "M0"
"ENSG00000054967" "yellow" "M2"
"ENSG00000054983" "black" "M5"
"ENSG00000055044" "yellow" "M2"
"ENSG00000055070" "grey" "M0"
"ENSG00000055118" "grey" "M0"
"ENSG00000055130" "grey" "M0"
"ENSG00000055147" "grey" "M0"
"ENSG00000055163" "magenta" "M7"
"ENSG00000055208" "grey" "M0"
"ENSG00000055211" "greenyellow" "M9"
"ENSG00000055332" "grey" "M0"
"ENSG00000055483" "yellow" "M2"
"ENSG00000055609" "magenta" "M7"
"ENSG00000055917" "grey" "M0"
"ENSG00000055950" "grey" "M0"
"ENSG00000056050" "grey" "M0"
"ENSG00000056097" "grey" "M0"
"ENSG00000056277" "magenta" "M7"
"ENSG00000056487" "grey" "M0"
"ENSG00000056586" "grey" "M0"
"ENSG00000056661" "red" "M4"
"ENSG00000056736" "grey" "M0"
"ENSG00000056998" "pink" "M6"
"ENSG00000057019" "grey" "M0"
"ENSG00000057252" "magenta" "M7"
