"Symbol" "moduleLabel"
"ENSG00000040608" "M0"
"ENSG00000040633" "M18"
"ENSG00000040731" "M1"
"ENSG00000040933" "M0"
"ENSG00000041353" "M2"
"ENSG00000041357" "M9"
"ENSG00000041515" "M0"
"ENSG00000041802" "M0"
"ENSG00000041880" "M0"
"ENSG00000041982" "M0"
"ENSG00000041988" "M15"
"ENSG00000042062" "M0"
"ENSG00000042088" "M0"
"ENSG00000042286" "M0"
"ENSG00000042317" "M0"
"ENSG00000042429" "M0"
"ENSG00000042445" "M0"
"ENSG00000042753" "M0"
"ENSG00000043093" "M0"
"ENSG00000043143" "M0"
"ENSG00000043355" "M0"
"ENSG00000043514" "M15"
"ENSG00000044090" "M0"
"ENSG00000044115" "M0"
"ENSG00000044446" "M0"
"ENSG00000044459" "M0"
"ENSG00000044524" "M0"
"ENSG00000044574" "M0"
"ENSG00000046604" "M13"
"ENSG00000046647" "M13"
"ENSG00000046651" "M0"
"ENSG00000046653" "M0"
"ENSG00000046889" "M0"
"ENSG00000047056" "M0"
"ENSG00000047188" "M0"
"ENSG00000047230" "M18"
"ENSG00000047249" "M0"
"ENSG00000047315" "M0"
"ENSG00000047346" "M0"
"ENSG00000047410" "M0"
"ENSG00000047457" "M6"
"ENSG00000047578" "M0"
"ENSG00000047579" "M6"
"ENSG00000047621" "M13"
"ENSG00000047634" "M1"
"ENSG00000047644" "M8"
"ENSG00000047849" "M6"
"ENSG00000047932" "M0"
"ENSG00000048028" "M0"
"ENSG00000048052" "M0"
"ENSG00000048140" "M3"
"ENSG00000048162" "M0"
"ENSG00000048342" "M0"
"ENSG00000048392" "M0"
"ENSG00000048405" "M0"
"ENSG00000048471" "M0"
"ENSG00000048540" "M0"
"ENSG00000048544" "M0"
"ENSG00000048649" "M0"
"ENSG00000048707" "M0"
"ENSG00000048740" "M0"
"ENSG00000048828" "M8"
"ENSG00000048991" "M10"
"ENSG00000049089" "M0"
"ENSG00000049130" "M0"
"ENSG00000049167" "M0"
"ENSG00000049192" "M0"
"ENSG00000049239" "M0"
"ENSG00000049245" "M14"
"ENSG00000049246" "M0"
"ENSG00000049323" "M8"
"ENSG00000049449" "M0"
"ENSG00000049540" "M0"
"ENSG00000049541" "M0"
"ENSG00000049618" "M0"
"ENSG00000049656" "M0"
"ENSG00000049759" "M1"
"ENSG00000049769" "M0"
"ENSG00000049860" "M8"
"ENSG00000049883" "M0"
"ENSG00000050030" "M2"
"ENSG00000050130" "M0"
"ENSG00000050165" "M6"
"ENSG00000050344" "M0"
"ENSG00000050393" "M6"
"ENSG00000050405" "M18"
"ENSG00000050426" "M2"
"ENSG00000050438" "M13"
"ENSG00000050555" "M4"
"ENSG00000050628" "M0"
"ENSG00000050748" "M1"
"ENSG00000050767" "M0"
"ENSG00000050820" "M8"
"ENSG00000051009" "M0"
"ENSG00000051108" "M0"
"ENSG00000051128" "M8"
"ENSG00000051382" "M2"
"ENSG00000051596" "M0"
"ENSG00000051620" "M0"
"ENSG00000051825" "M0"
"ENSG00000052126" "M0"
"ENSG00000052723" "M0"
"ENSG00000052749" "M0"
"ENSG00000052795" "M10"
"ENSG00000052802" "M14"
"ENSG00000052841" "M0"
"ENSG00000053108" "M0"
"ENSG00000053254" "M6"
"ENSG00000053371" "M0"
"ENSG00000053372" "M9"
"ENSG00000053438" "M10"
"ENSG00000053501" "M0"
"ENSG00000053702" "M0"
"ENSG00000053770" "M0"
"ENSG00000053900" "M0"
"ENSG00000054116" "M0"
"ENSG00000054118" "M0"
"ENSG00000054148" "M0"
"ENSG00000054267" "M0"
"ENSG00000054277" "M0"
"ENSG00000054282" "M0"
"ENSG00000054356" "M1"
"ENSG00000054392" "M13"
"ENSG00000054523" "M0"
"ENSG00000054598" "M14"
"ENSG00000054611" "M0"
"ENSG00000054654" "M0"
"ENSG00000054690" "M13"
"ENSG00000054793" "M0"
"ENSG00000054965" "M0"
"ENSG00000054967" "M0"
"ENSG00000054983" "M10"
"ENSG00000055044" "M9"
"ENSG00000055070" "M18"
"ENSG00000055118" "M3"
"ENSG00000055130" "M0"
"ENSG00000055147" "M9"
"ENSG00000055163" "M0"
"ENSG00000055208" "M6"
"ENSG00000055211" "M0"
"ENSG00000055332" "M0"
"ENSG00000055483" "M0"
"ENSG00000055609" "M0"
"ENSG00000055813" "M14"
"ENSG00000055917" "M0"
"ENSG00000055950" "M0"
"ENSG00000056050" "M0"
"ENSG00000056097" "M0"
"ENSG00000056277" "M0"
"ENSG00000056487" "M8"
"ENSG00000056586" "M0"
"ENSG00000056661" "M17"
"ENSG00000056736" "M0"
"ENSG00000056972" "M0"
"ENSG00000056998" "M3"
"ENSG00000057019" "M0"
"ENSG00000057252" "M0"
"ENSG00000057294" "M16"
"ENSG00000057608" "M16"
"ENSG00000057663" "M0"
"ENSG00000057704" "M0"
"ENSG00000057757" "M0"
"ENSG00000057935" "M0"
"ENSG00000058056" "M0"
"ENSG00000058063" "M0"
"ENSG00000058091" "M0"
"ENSG00000058262" "M0"
"ENSG00000058272" "M0"
"ENSG00000058404" "M1"
"ENSG00000058453" "M5"
"ENSG00000058600" "M5"
"ENSG00000058668" "M6"
"ENSG00000058673" "M0"
"ENSG00000058729" "M12"
"ENSG00000058799" "M0"
"ENSG00000058804" "M20"
"ENSG00000059122" "M0"
"ENSG00000059145" "M0"
"ENSG00000059573" "M20"
"ENSG00000059588" "M0"
"ENSG00000059691" "M0"
"ENSG00000059728" "M0"
"ENSG00000059758" "M0"
"ENSG00000059769" "M0"
"ENSG00000059804" "M6"
"ENSG00000059915" "M1"
"ENSG00000060069" "M18"
"ENSG00000060138" "M0"
"ENSG00000060237" "M0"
"ENSG00000060339" "M0"
"ENSG00000060491" "M0"
"ENSG00000060642" "M0"
"ENSG00000060656" "M0"
"ENSG00000060688" "M0"
"ENSG00000060709" "M0"
"ENSG00000060718" "M16"
"ENSG00000060749" "M0"
"ENSG00000060762" "M0"
"ENSG00000060971" "M0"
"ENSG00000060982" "M16"
"ENSG00000061273" "M8"
"ENSG00000061337" "M6"
"ENSG00000061656" "M1"
"ENSG00000061676" "M0"
"ENSG00000061794" "M0"
"ENSG00000061918" "M0"
"ENSG00000061936" "M0"
"ENSG00000061938" "M5"
"ENSG00000061987" "M0"
"ENSG00000062038" "M0"
"ENSG00000062194" "M0"
"ENSG00000062370" "M0"
"ENSG00000062485" "M0"
"ENSG00000062598" "M0"
"ENSG00000062650" "M0"
"ENSG00000062716" "M6"
"ENSG00000062725" "M0"
"ENSG00000062822" "M8"
"ENSG00000063015" "M0"
"ENSG00000063046" "M0"
"ENSG00000063127" "M15"
"ENSG00000063169" "M17"
"ENSG00000063176" "M0"
"ENSG00000063177" "M8"
"ENSG00000063180" "M0"
"ENSG00000063241" "M0"
"ENSG00000063244" "M0"
"ENSG00000063245" "M0"
"ENSG00000063322" "M0"
"ENSG00000063438" "M0"
"ENSG00000063587" "M0"
"ENSG00000063601" "M0"
"ENSG00000063660" "M0"
"ENSG00000063761" "M0"
"ENSG00000063854" "M0"
"ENSG00000063978" "M0"
"ENSG00000064042" "M0"
"ENSG00000064102" "M9"
"ENSG00000064115" "M0"
"ENSG00000064199" "M7"
"ENSG00000064225" "M0"
"ENSG00000064300" "M0"
"ENSG00000064309" "M0"
"ENSG00000064313" "M0"
"ENSG00000064393" "M6"
"ENSG00000064419" "M0"
"ENSG00000064490" "M15"
"ENSG00000064545" "M0"
"ENSG00000064547" "M5"
"ENSG00000064601" "M0"
"ENSG00000064607" "M0"
"ENSG00000064651" "M7"
"ENSG00000064652" "M0"
"ENSG00000064655" "M10"
"ENSG00000064666" "M16"
"ENSG00000064687" "M0"
"ENSG00000064692" "M0"
"ENSG00000064703" "M9"
"ENSG00000064726" "M0"
"ENSG00000064763" "M0"
"ENSG00000064932" "M6"
"ENSG00000064933" "M0"
"ENSG00000064961" "M8"
"ENSG00000064989" "M4"
"ENSG00000064995" "M0"
"ENSG00000064999" "M0"
"ENSG00000065000" "M0"
"ENSG00000065029" "M0"
"ENSG00000065054" "M1"
"ENSG00000065057" "M15"
"ENSG00000065060" "M15"
"ENSG00000065135" "M0"
"ENSG00000065150" "M0"
"ENSG00000065154" "M3"
"ENSG00000065183" "M0"
"ENSG00000065243" "M0"
"ENSG00000065268" "M5"
"ENSG00000065308" "M16"
"ENSG00000065320" "M0"
"ENSG00000065328" "M11"
"ENSG00000065357" "M0"
"ENSG00000065413" "M0"
"ENSG00000065427" "M9"
"ENSG00000065457" "M14"
"ENSG00000065485" "M6"
"ENSG00000065491" "M0"
"ENSG00000065518" "M0"
"ENSG00000065526" "M0"
"ENSG00000065548" "M0"
"ENSG00000065559" "M0"
"ENSG00000065600" "M18"
"ENSG00000065609" "M2"
"ENSG00000065613" "M3"
"ENSG00000065615" "M14"
"ENSG00000065665" "M0"
"ENSG00000065675" "M0"
"ENSG00000065717" "M3"
"ENSG00000065802" "M0"
"ENSG00000065809" "M0"
"ENSG00000065833" "M0"
"ENSG00000065882" "M13"
"ENSG00000065883" "M0"
"ENSG00000065911" "M0"
"ENSG00000065923" "M13"
"ENSG00000065970" "M0"
"ENSG00000065978" "M0"
"ENSG00000065989" "M3"
"ENSG00000066027" "M0"
"ENSG00000066032" "M2"
"ENSG00000066044" "M0"
"ENSG00000066084" "M0"
"ENSG00000066117" "M0"
"ENSG00000066135" "M0"
"ENSG00000066136" "M0"
"ENSG00000066230" "M0"
"ENSG00000066248" "M0"
"ENSG00000066279" "M11"
"ENSG00000066322" "M0"
"ENSG00000066379" "M9"
"ENSG00000066382" "M0"
"ENSG00000066422" "M0"
"ENSG00000066427" "M0"
"ENSG00000066455" "M0"
"ENSG00000066468" "M0"
"ENSG00000066557" "M0"
"ENSG00000066583" "M0"
"ENSG00000066629" "M9"
"ENSG00000066651" "M0"
"ENSG00000066654" "M0"
"ENSG00000066697" "M0"
"ENSG00000066735" "M0"
"ENSG00000066739" "M0"
"ENSG00000066777" "M0"
"ENSG00000066827" "M0"
