"Ensembl","Gene","logFC","rawFC","FoldChange","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000272720","",6.95094577207061,123.720929922475,"123.720929922475",-2.15449426619015,88.1128704918017,9.33414611590803e-24,6.43831873683871e-23,10.0484312434142
"ENSG00000226360","RPL10AP6",-9.44690355478582,0.00143284318982253,"-697.913077371613",0.827968233863916,-36.0842903373864,9.40155126380804e-24,6.48208050067439e-23,-10.0477220375912
"ENSG00000160097","FNDC5",3.43486699048144,10.8142895929656,"10.8142895929656",4.83904106954732,19.3603325989502,9.5805120698079e-24,6.60268722352066e-23,10.0458632530833
"ENSG00000105376","ICAM5",8.23840231950116,301.999493457599,"301.999493457599",-1.64241539369562,96.0277062841615,9.74736414635723e-24,6.71485085637943e-23,10.0441609556036
"ENSG00000162551","ALPL",-10.1960437769753,0.000852481545220406,"-1173.04592176415",1.25535017437553,-32.7140702211884,9.81327922927827e-24,6.75741499473398e-23,-10.0434964009567
"ENSG00000148019","CEP78",-0.901794842155208,0.535220454602774,"-1.86838898140052",6.71614503125719,-19.3447392612922,9.90287636377016e-24,6.81536393174289e-23,-10.0426001381616
"ENSG00000250896","RNPS1P1",-9.42075834286368,0.00145904657982765,"-685.379078245826",0.804625917827153,-33.4627131414243,9.90919271631895e-24,6.81536393174289e-23,-10.042537257459
"ENSG00000216285","",-8.37644171565213,0.00300912193619338,"-332.3228573665",0.178076709101345,-41.6351296998669,9.90992556057434e-24,6.81536393174289e-23,-10.0425299644006
"ENSG00000160161","CILP2",7.66590873817775,203.080617002363,"203.080617002363",-1.87779966327626,61.0084406092549,1.00882730216829e-23,6.93510511629168e-23,10.0407707961652
"ENSG00000228519","",-9.26042842183237,0.00163054681455205,"-613.291192301476",0.707657379592774,-35.5177318349603,1.01582254755989e-23,6.97953034506697e-23,-10.040089201241
"ENSG00000128342","LIF",7.4739409047407,177.778975097544,"177.778975097544",-1.95406300441173,62.3225635734352,1.01614252274527e-23,6.97953034506697e-23,10.040058135138
"ENSG00000109794","FAM149A",8.36238672116513,329.101027642104,"329.101027642104",-1.59950511015576,68.1830332799094,1.03492745082435e-23,7.1055757194182e-23,10.0382510986594
"ENSG00000034063",NA,-3.52738653971405,0.086726305340618,"-11.5305269384242",6.06727454724558,-37.6425430594933,1.04937065839402e-23,7.20171863169533e-23,-10.0368836725888
"ENSG00000272097","",5.61769499792851,49.1014933628452,"49.1014933628452",-2.6674823190803,71.9103859303364,1.05779349859664e-23,7.25648113370906e-23,10.0360948100058
"ENSG00000102032","RENBP",7.7909218124979,221.462990178851,"221.462990178851",-1.82506085123358,74.9360767603026,1.1132939589512e-23,7.63401571852253e-23,10.0310473062612
"ENSG00000187514","PTMA",-1.09319329539785,0.468722743535658,"-2.13345738774446",9.61154875633869,-19.2811295714973,1.13366812729658e-23,7.77046897302779e-23,-10.0292566838594
"ENSG00000254893","",-9.15506270942784,0.00175408854440522,"-570.096648307502",0.644071085557931,-35.4558022692184,1.15553053604715e-23,7.91700452658845e-23,-10.0273703706909
"ENSG00000250303","LINC02762",8.20043371470132,294.15519691264,"294.15519691264",-1.63881301592751,86.3966742397917,1.17038461186248e-23,8.0154206388975e-23,10.0261088028359
"ENSG00000225032","",6.21193017703862,74.1271519342211,"74.1271519342211",-2.45341793688805,74.5361668208199,1.17446805828722e-23,8.04002224092232e-23,10.0257647708715
"ENSG00000251136","",7.07326124715823,134.6678115454,"134.6678115454",-2.10253841816339,86.6155465000403,1.17595631248043e-23,8.04684486734101e-23,10.0256396793387
"ENSG00000172757","CFL1",-0.874493879474706,0.545445183677883,"-1.83336479984496",9.34005272348609,-19.259028097277,1.18829881895705e-23,8.12790433292478e-23,-10.0246082616722
"ENSG00000128645","HOXD1",6.23756478407125,75.456055741185,"75.456055741185",-2.43729479233412,47.629404966801,1.21137183917046e-23,8.28226159713537e-23,10.0227082770721
"ENSG00000188501","LCTL",-7.21077438976947,0.0067505726684733,"-148.135580359015",-0.533118834018634,-68.4705376548117,1.21640811225087e-23,8.31322253917423e-23,-10.0222983245537
"ENSG00000137198","GMPR",7.9338924295503,244.534198037628,"244.534198037628",-1.75794124539523,79.3536386048453,1.23558797517635e-23,8.44077795395932e-23,10.0207523257818
"ENSG00000197714","ZNF460",7.47027621959959,177.32796002782,"177.32796002782",-1.93799741082747,115.51685381888,1.23807940144677e-23,8.45426935456019e-23,10.0205532499489
"ENSG00000080561","MID2",7.87283135238921,234.400421271012,"234.400421271012",-1.78813793334549,95.1291602862704,1.24710320016084e-23,8.51233743962993e-23,10.0198355149067
"ENSG00000100314","CABP7",9.57243517638732,761.360111037986,"761.360111037986",-1.12674566717944,55.6416032089136,1.251539501616e-23,8.53905734158011e-23,10.0194845439208
"ENSG00000241634","",-2.50044813745441,0.176721792525537,"-5.65861168398626",0.886455570173715,-19.2319219520027,1.25898024000706e-23,8.58448362277842e-23,-10.0188986385857
"ENSG00000158286","RNF207",9.10369936715333,550.156921311112,"550.156921311112",-1.2905467300507,73.53858488436,1.25924640629833e-23,8.58448362277842e-23,10.0188777434629
"ENSG00000251664","PCDHA12",8.68324951107039,411.072631021341,"411.072631021341",-1.48994846326516,72.7994891205491,1.26081190138546e-23,8.59157751951588e-23,10.0187549342582
"ENSG00000231527","FAM27C",5.30592417017445,39.5587290393784,"39.5587290393784",-2.81975886938465,70.948253542605,1.26544471436629e-23,8.61955850384829e-23,10.0183923843036
"ENSG00000222046","DCDC2B",5.81395031852292,56.2565945805158,"56.2565945805158",-2.59912206511102,83.2686638710316,1.26816660426051e-23,8.63450539872548e-23,10.0181799899251
"ENSG00000155428","TRIM74",5.69015002731788,51.6304414129294,"51.6304414129294",-2.66919301447366,61.7477810658084,1.28718835508462e-23,8.76037380292102e-23,10.016708167634
"ENSG00000270504","",7.93921730489071,245.438422453909,"245.438422453909",-1.74754415599679,80.8995904870409,1.30819080041952e-23,8.89961222829038e-23,10.0151079024191
"ENSG00000147408","CSGALNACT1",8.36182654281001,328.973267110286,"328.973267110286",-1.6207128089819,61.1913069460554,1.30992080996671e-23,8.90767919299341e-23,10.0149772219586
"ENSG00000198750",NA,6.6256028132299,98.7427427064504,"98.7427427064504",-2.29053054041433,84.7465735367428,1.31693118848199e-23,8.95163193233939e-23,10.0144494198147
"ENSG00000128973","CLN6",-2.76852173479872,0.146754664593216,"-6.81409345843871",4.77129863052632,-31.7627380995165,1.32051918386924e-23,8.97229472875536e-23,-10.0141803598671
"ENSG00000237350","CDC42P6",-9.2471940577444,0.00164557322697937,"-607.69097576752",0.706042301746926,-33.5996867038814,1.33061871894602e-23,9.03716480983756e-23,-10.0134268757169
"ENSG00000135824","RGS8",8.09643630656272,273.697093986654,"273.697093986654",-1.73247191790253,65.7773770010693,1.33566362929587e-23,9.06766581680415e-23,10.0130526145377
"ENSG00000179061",NA,4.78453071961473,27.5605107592735,"27.5605107592735",-3.01661598671705,64.8524391451727,1.37542224119633e-23,9.33371112931239e-23,10.0101511603593
"ENSG00000226318","RPS3AP38",4.98432119203605,31.6541158017456,"31.6541158017456",-2.93650865939711,44.9464041831026,1.38818157185505e-23,9.41639285873331e-23,10.0092376089052
"ENSG00000145526","CDH18",8.68220760823428,410.775864824332,"410.775864824332",-1.473916208028,78.9054131525923,1.3979079293601e-23,9.4784411714027e-23,10.0085467825602
"ENSG00000158089","GALNT14",7.81685127376971,225.479314103626,"225.479314103626",-1.82454554079585,62.8699079585732,1.40409183462222e-23,9.51642863316624e-23,10.0081100340839
"ENSG00000136122","BORA",-2.45891869780839,0.181882835060828,"-5.49804493461719",3.82144093191105,-31.0451120729716,1.40833701282676e-23,9.54125009352169e-23,-10.0078113126909
"ENSG00000215630","GUSBP9",6.34302610507298,81.1785184410723,"81.1785184410723",-2.38176026778073,76.5647288497629,1.40938064532828e-23,9.54437004664184e-23,10.0077380117289
"ENSG00000149557","FEZ1",1.49277022396828,2.8142884871432,"2.8142884871432",6.99427908830107,19.1700516182917,1.4368081041445e-23,9.72608562805507e-23,10.005830632669
"ENSG00000108839","ALOX12",6.37620983754819,83.067362212523,"83.067362212523",-2.38308031482489,83.3885039532372,1.45397096696466e-23,9.83692028034634e-23,10.0046553366908
"ENSG00000143036","SLC44A3",8.28093723908776,311.035887579311,"311.035887579311",-1.65856922661564,58.904575999322,1.45465021618771e-23,9.83692028034634e-23,10.0046091054744
"ENSG00000171798","KNDC1",10.2597614097292,1226.01542057216,"1226.01542057216",-0.882360810594564,50.3880792017239,1.454984359648e-23,9.83692028034634e-23,10.00458637077
"ENSG00000177576","C18orf32",6.5092520351312,91.0919736637257,"91.0919736637257",-2.32590306423046,79.7241705033455,1.46611883532871e-23,9.90810615056165e-23,10.0038317368557
"ENSG00000159753","CARMIL2",8.11728613883483,277.681285488702,"277.681285488702",-1.69467256154318,97.1502156632187,1.46837663118325e-23,9.91926896376701e-23,10.0036794080735
"ENSG00000182473","EXOC7",0.647369899102234,1.56631013436909,"1.56631013436909",7.20954773791529,19.1563912507997,1.47940546882623e-23,9.98964880930188e-23,10.0029386335023
"ENSG00000272505","",7.19924690216613,146.956656916187,"146.956656916187",-2.04739954406223,89.4307698033425,1.51704561738758e-23,1.02395887279999e-22,10.0004510056858
"ENSG00000232346","",-8.92457168832301,0.00205795665507465,"-485.91888343913",0.514313930645246,-34.3307776284383,1.51790888119592e-23,1.02411923196269e-22,-10.0003946725447
"ENSG00000185798","WDR53",-0.814719982007934,0.568518821821225,"-1.75895671632567",3.01121811317123,-19.1441583531581,1.51864328075154e-23,1.02419255127076e-22,-10.0003467735395
"ENSG00000183067","IGSF5",6.98177880134476,126.393529715805,"126.393529715805",-2.12420440018571,74.4429359094551,1.52393617244601e-23,1.02733884969507e-22,10.0000022374638
"ENSG00000214562","NUTM2D",8.21631908550437,297.412007669904,"297.412007669904",-1.68094777082253,68.3013531482232,1.54728047199403e-23,1.04264663505962e-22,9.99849666607292
"ENSG00000269102","",3.33730276524902,10.1071389652794,"10.1071389652794",-3.58579829762892,19.1225291285819,1.59063540000933e-23,1.07142058548777e-22,9.99575926899325
"ENSG00000215241","LINC02449",6.3511625981936,81.6376414768402,"81.6376414768402",-2.40184550786089,60.4819526036322,1.61408970018216e-23,1.08677170763396e-22,9.99430902300242
"ENSG00000253200","",6.46943619729272,88.6123696320361,"88.6123696320361",-2.34100338364774,80.588846999956,1.61477366668706e-23,1.08678517172425e-22,9.99426704524856
"ENSG00000158806","NPM2",7.83936507340744,229.02560236201,"229.02560236201",-1.82920092308351,67.9458837287968,1.62058584311863e-23,1.09024862639399e-22,9.99391103769208
"ENSG00000261478","",7.30597793583436,158.240813289602,"158.240813289602",-2.03924081013268,61.4062993254013,1.62661161704098e-23,1.09385287377678e-22,9.99354327932258
