"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143653",760.068976442563,-0.0036048558493856,0.046179225884386,-0.0780622840757592,0.937778508555914,0.941979664194121
"ENSG00000143702",3033.00487354067,1.26115084132671,0.039159182428247,32.2057500469415,1.46631124910824e-227,4.58026384072588e-226
"ENSG00000143727",2022.01086126265,-1.2292387307087,0.0440828268306912,-27.8847528410514,4.08440896423996e-171,6.21894008620275e-170
"ENSG00000143740",633.451049154652,0.219854473145728,0.0366630977108427,5.99661476724344,2.01473237896099e-09,2.89756081001963e-09
"ENSG00000143742",5434.26570803271,-0.872732109044755,0.0460573497179139,-18.9488130426512,4.51656158040836e-80,1.89897456840802e-79
"ENSG00000143748",595.669728288644,-0.607858556049188,0.0596346989388517,-10.1930347074021,2.13009047549436e-24,4.03627238977677e-24
"ENSG00000143751",537.678913093093,-0.121005320879076,0.0661165751134385,-1.83018132248174,0.0672228297288312,0.0748862231675975
"ENSG00000143753",947.851936531741,0.129562425515117,0.0496569484778992,2.60914996765822,0.00907674538784632,0.0106036805729975
"ENSG00000143756",648.045744723687,-0.465897710306401,0.0629323765602857,-7.40314820083263,1.32993181345379e-13,2.0953242778527e-13
"ENSG00000143761",4538.22154750628,-0.255613572927532,0.0407875536817204,-6.26695032808719,3.68187535154279e-10,5.39331803777093e-10
"ENSG00000143771",557.297064298377,-0.905723744779438,0.0499106862831033,-18.1468902199019,1.35879049255287e-73,5.22695247523042e-73
"ENSG00000143772",739.535655724517,0.652357243966731,0.0873435312336282,7.46886729621445,8.08880607245456e-14,1.28006939760163e-13
"ENSG00000143774",1103.05730143772,0.394793104317268,0.0453044635298471,8.71422093006739,2.92764947991983e-18,5.03782240194783e-18
"ENSG00000143776",1570.45102900678,0.868806309699144,0.0467511307138882,18.5836427147857,4.35888300147053e-77,1.75470233566329e-76
"ENSG00000143793",495.17255246827,-0.815881359230689,0.0476314802348681,-17.1290364105341,9.01352152904078e-66,3.1190976826076e-65
"ENSG00000143797",1563.44562941001,0.722385687676449,0.0520257256123284,13.8851631413915,7.792275728451e-44,1.96221490958902e-43
"ENSG00000143799",6746.6981597407,-1.75125284212234,0.038494765020933,-45.4932726870792,0,0
"ENSG00000143801",220.676607884402,-0.0285956858322789,0.0858066106161607,-0.333257375241124,0.73894001170928,0.752174758187656
"ENSG00000143811",403.226085777008,-0.473621848721372,0.0416586429613156,-11.3691137073567,5.95895730181432e-30,1.22733375004526e-29
"ENSG00000143815",3125.98978945491,-1.78937532846851,0.0498911192478888,-35.8656080569736,1.05037200694588e-281,6.05369331327121e-280
"ENSG00000143819",340.175873513859,1.3682724746375,0.0857454821604807,15.9573710493184,2.53173127993339e-57,7.76309059384597e-57
"ENSG00000143842",836.359539455357,-0.545785773375273,0.12422253438478,-4.39361325284751,1.11482069823087e-05,1.44924034537708e-05
"ENSG00000143845",200.276327911667,1.29873082973009,0.0781397416890095,16.6206184159009,4.94202104619434e-62,1.62138706121686e-61
"ENSG00000143850",1194.53496430662,2.17413853076442,0.134676980828796,16.1433566254966,1.26472260269327e-58,3.95963648830978e-58
"ENSG00000143862",759.25143817704,1.56317984430428,0.0413674753927495,37.7876539349622,0,0
"ENSG00000143867",149.047971676495,-0.203077316852318,0.419200679198717,-0.484439379345689,0.62807407676537,0.644655200883901
"ENSG00000143870",3247.0218286757,-1.09691312004195,0.091016100627855,-12.0518579951803,1.89626689695849e-33,4.11373049296441e-33
"ENSG00000143878",2160.4070444851,0.573269108611313,0.175652418140546,3.26365622904558,0.00109984527480436,0.00133567795355377
"ENSG00000143889",1263.5094879531,-0.356699117252497,0.0392859629778461,-9.07955641697378,1.09018237704163e-19,1.9249304366146e-19
"ENSG00000143891",187.184328459218,-1.46782398159339,0.0956818360142445,-15.3406753333503,4.08918587927358e-53,1.18254053837367e-52
