,msg,mnsg,nmsg,nmnsg,module_genes,total_genes,pvalue,oddsratio,FDR,-LOG(pvalue)
Neuron ID_only M19,5,56,735,11418,61,12214,0.418262508,1.386971363,0.773443966,0.111571144
Neuron ID_only M20,10,132,730,11342,142,12214,0.593804901,1.177026488,0.92431895,0.034178143
Neuron Sfari&ID M0,105,7716,69,4324,7821,12214,0.302436256,0.852791711,0.693083087,0.159214699
Neuron Sfari&ID M1,12,494,162,11546,506,12214,0.08053696,1.731190065,0.39084113,0.40799974
Neuron Sfari&ID M2,21,398,153,11642,419,12214,5.28E-07,4.014070715,4.35E-05,4.361151054
Neuron Sfari&ID M3,2,331,172,11709,333,12214,0.340062581,0.411353134,0.728705531,0.137447934
Neuron Sfari&ID M4,3,277,171,11763,280,12214,0.800927414,0.745026637,0.999063101,0.000407081
Neuron Sfari&ID M5,3,224,171,11816,227,12214,1,0.925444136,1,0
Neuron Sfari&ID M6,2,282,172,11758,284,12214,0.445099622,0.484846842,0.789692877,0.102541779
Neuron Sfari&ID M7,1,165,173,11875,166,12214,0.734335005,0.416030026,0.982444005,0.007692193
Neuron Sfari&ID M8,3,258,171,11782,261,12214,1,0.801181862,1,0
Neuron Sfari&ID M9,3,218,171,11822,221,12214,1,0.951395981,1,0
Neuron Sfari&ID M10,2,115,172,11925,117,12214,0.683971394,1.205741108,0.982444005,0.007692193
Neuron Sfari&ID M11,1,159,173,11881,160,12214,0.731021809,0.431946823,0.982444005,0.007692193
Neuron Sfari&ID M12,2,182,172,11858,184,12214,1,0.757617371,1,0
Neuron Sfari&ID M13,3,184,171,11856,187,12214,0.750628439,1.130421703,0.982444005,0.007692193
Neuron Sfari&ID M14,4,232,170,11808,236,12214,0.581225964,1.197544851,0.913355087,0.039360348
Neuron Sfari&ID M15,2,158,172,11882,160,12214,1,0.87445688,1,0
Neuron Sfari&ID M16,0,133,174,11907,133,12214,0.268772091,0,0.657508933,0.182098342
Neuron Sfari&ID M17,2,139,172,11901,141,12214,1,0.995566699,1,0
Neuron Sfari&ID M18,3,172,171,11868,175,12214,0.740517624,1.210503543,0.982444005,0.007692193
Neuron Sfari&ID M19,0,61,174,11979,61,12214,1,0,1,0
Neuron Sfari&ID M20,0,142,174,11898,142,12214,0.273497491,0,0.657508933,0.182098342
