"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000041515" "grey" "M0"
"ENSG00000041802" "grey" "M0"
"ENSG00000041880" "grey" "M0"
"ENSG00000041982" "grey" "M0"
"ENSG00000041988" "black" "M15"
"ENSG00000042062" "grey" "M0"
"ENSG00000042088" "grey" "M0"
"ENSG00000042286" "grey" "M0"
"ENSG00000042317" "grey" "M0"
"ENSG00000042429" "grey" "M0"
"ENSG00000042445" "grey" "M0"
"ENSG00000042753" "grey" "M0"
"ENSG00000043093" "grey" "M0"
"ENSG00000043143" "grey" "M0"
"ENSG00000043355" "grey" "M0"
"ENSG00000043514" "black" "M15"
"ENSG00000044090" "grey" "M0"
"ENSG00000044115" "grey" "M0"
"ENSG00000044446" "grey" "M0"
"ENSG00000044459" "grey" "M0"
"ENSG00000044524" "grey" "M0"
"ENSG00000044574" "grey" "M0"
"ENSG00000046604" "green" "M13"
"ENSG00000046647" "green" "M13"
"ENSG00000046651" "grey" "M0"
"ENSG00000046653" "grey" "M0"
"ENSG00000046889" "grey" "M0"
"ENSG00000047056" "grey" "M0"
"ENSG00000047188" "grey" "M0"
"ENSG00000047230" "purple" "M18"
"ENSG00000047249" "grey" "M0"
"ENSG00000047315" "grey" "M0"
"ENSG00000047346" "grey" "M0"
"ENSG00000047410" "grey" "M0"
"ENSG00000047457" "grey60" "M6"
"ENSG00000047578" "grey" "M0"
"ENSG00000047579" "grey60" "M6"
"ENSG00000047621" "green" "M13"
"ENSG00000047634" "turquoise" "M1"
"ENSG00000047644" "lightyellow" "M8"
"ENSG00000047849" "grey60" "M6"
"ENSG00000047932" "grey" "M0"
"ENSG00000048028" "grey" "M0"
"ENSG00000048052" "grey" "M0"
"ENSG00000048140" "cyan" "M3"
"ENSG00000048162" "grey" "M0"
"ENSG00000048342" "grey" "M0"
"ENSG00000048392" "grey" "M0"
"ENSG00000048405" "grey" "M0"
"ENSG00000048471" "grey" "M0"
"ENSG00000048540" "grey" "M0"
"ENSG00000048544" "grey" "M0"
"ENSG00000048649" "grey" "M0"
"ENSG00000048707" "grey" "M0"
"ENSG00000048740" "grey" "M0"
"ENSG00000048828" "lightyellow" "M8"
"ENSG00000048991" "blue" "M10"
"ENSG00000049089" "grey" "M0"
"ENSG00000049130" "grey" "M0"
"ENSG00000049167" "grey" "M0"
"ENSG00000049192" "grey" "M0"
"ENSG00000049239" "grey" "M0"
"ENSG00000049245" "red" "M14"
"ENSG00000049246" "grey" "M0"
"ENSG00000049323" "lightyellow" "M8"
"ENSG00000049449" "grey" "M0"
"ENSG00000049540" "grey" "M0"
"ENSG00000049541" "grey" "M0"
"ENSG00000049618" "grey" "M0"
"ENSG00000049656" "grey" "M0"
"ENSG00000049759" "turquoise" "M1"
"ENSG00000049769" "grey" "M0"
"ENSG00000049860" "lightyellow" "M8"
"ENSG00000049883" "grey" "M0"
"ENSG00000050030" "tan" "M2"
"ENSG00000050130" "grey" "M0"
